canonical_tag,make,model,body,fuel,transmission,badge,series,allowed_badge_aliases,allowed_body_aliases,excluded_keywords
holden_commodore_omega_petrol_auto_sedan_ve-series-ii,holden,commodore,sedan,petrol,auto,omega,ve series ii,omega,sedan|saloon,manual|diesel|hybrid|wagon|sportwagon|ute|utility|sv6|ss|redline|storm|hsv|calais|berlina|evoke|international|lumina|executive|rs|v8|lpg|gas|dual fuel|vf|vz|vy|vx|vt
holden_commodore_omega_petrol_auto_wagon_ve-series-ii,holden,commodore,wagon,petrol,auto,omega,ve series ii,omega,wagon|sportwagon,manual|diesel|hybrid|sedan|saloon|ute|utility|sv6|ss|redline|storm|hsv|calais|berlina|evoke|international|lumina|executive|rs|v8|lpg|gas|dual fuel|vf|vz|vy|vx|vt
toyota_camry_altise_petrol_auto_sedan_acv40r,toyota,camry,sedan,petrol,auto,altise,acv40r,altise,sedan|saloon,hybrid|ascent|ascent sport|sx|sl|atara|gr|manual|csi|csx|ateva|vienta|grande|sportivo|acv36r|asv50r|asv70r
toyota_corolla_ascent_petrol_auto_hatch_zre152r,toyota,corolla,hatch,petrol,auto,ascent,zre152r,ascent,hatch|hatchback,hybrid|ascent sport|conquest|sx|zr|levin|gr|manual|sedan|axio|hybrid ex|zre172r|zre182r|mzea12r
toyota_yaris_yr_petrol_manual_hatch_ncp90r,toyota,yaris,hatch,petrol,manual,yr,ncp90r,yr,hatch|hatchback,auto|automatic|diesel|hybrid|sedan|yrs|yrx|ascent|sx|zr|cross|ncp130r
toyota_yaris_yr_petrol_auto_hatch_ncp130r,toyota,yaris,hatch,petrol,auto,yr,ncp130r,yr,hatch|hatchback,manual|diesel|hybrid|sedan|yrs|yrx|ascent|sx|zr|gr|cross|ncp90r|ncp91r
toyota_yaris_yrs_petrol_auto_hatch_ncp91r,toyota,yaris,hatch,petrol,auto,yrs,ncp91r,yrs,hatch|hatchback,manual|diesel|hybrid|sedan|yrx|ascent|sx|zr|gr|cross|ncp90r|ncp130r
toyota_yaris_ascent_petrol_manual_hatch_ncp130r,toyota,yaris,hatch,petrol,manual,ascent,ncp130r,ascent,hatch|hatchback,auto|automatic|diesel|hybrid|sedan|yr|yrs|yrx|sx|zr|gr|cross|ncp90r
toyota_corolla_ascent-sport_petrol_manual_hatch_zre18x,toyota,corolla,hatch,petrol,manual,ascent sport,zre18x,ascent sport|ascent-sport,hatch|hatchback,auto|automatic|hybrid|ascent |conquest|sx|zr|levin|gr|sedan|axio|hybrid ex|zre152r|zre172r|mzea12r
hyundai_accent_sport_petrol_auto_hatch_rb,hyundai,accent,hatch,petrol,auto,sport,rb,sport,hatch|hatchback,manual|diesel|hybrid|sedan|wagon|active|elite
hyundai_iload_tq_van_manual_diesel,hyundai,iload,van,diesel,manual,iload,tq,iload,van,auto|automatic|petrol|imax|i max|crew|people mover
ford_territory_titanium_diesel_auto_suv_sz,ford,territory,suv,diesel,auto,titanium,sz,titanium,suv|wagon,petrol|manual|tx|ts|ghia|turbo petrol|sz mkii|mk ii|mkii
mitsubishi_triton_glx_diesel_auto_ute_mn,mitsubishi,triton,ute,diesel,auto,glx,mn,glx,ute|dual cab|pick up|pickup|cab chassis,petrol|manual|glx-r|glxr|glx+|gls|vr|mq|mr|mv
mitsubishi_triton_glxr_diesel_manual_ute_mn,mitsubishi,triton,ute,diesel,manual,glx-r,mn,glx-r|glxr,ute|dual cab|pick up|pickup|cab chassis,petrol|auto|automatic|glx+|gls|vr|mq|mr|mv
mitsubishi_triton_glxr_diesel_auto_ute_mn,mitsubishi,triton,ute,diesel,auto,glx-r,mn,glx-r|glxr,ute|dual cab|pick up|pickup|cab chassis,petrol|manual|glx+|gls|vr|mq|mr|mv
mazda_cx5_maxx-sport_petrol_auto_wagon_ke,mazda,cx5,wagon,petrol,auto,maxx sport,ke,maxx sport|maxx-sport,wagon|suv,manual|diesel|touring|grand touring|akera
mazda_cx5_maxx_petrol_auto_wagon_ke,mazda,cx5,wagon,petrol,auto,maxx,ke,maxx,wagon|suv,manual|diesel|maxx sport|maxx-sport|touring|grand touring|akera
mazda_cx5_grand-touring_diesel_auto_wagon_ke,mazda,cx5,wagon,diesel,auto,grand touring,ke,grand touring,wagon|suv,manual|petrol|maxx|akera|touring 
mazda_cx5_akera_diesel_auto_wagon_ke,mazda,cx5,wagon,diesel,auto,akera,ke,akera,wagon|suv,manual|petrol|maxx|grand touring|touring
mitsubishi_pajero_glx_diesel_auto_suv_nx,mitsubishi,pajero,suv,diesel,auto,glx,nx,glx,suv|wagon,petrol|manual|exceed|vrx|vr-x|gls|platinum|nt|nw
mitsubishi_pajero_gls_diesel_auto_suv_nx,mitsubishi,pajero,suv,diesel,auto,gls,nx,gls,suv|wagon,petrol|manual|exceed|vrx|vr-x|glx|platinum|nt|nw
mitsubishi_pajero_exceed_diesel_auto_suv_nx,mitsubishi,pajero,suv,diesel,auto,exceed,nx,exceed,suv|wagon,petrol|manual|vrx|vr-x|glx|gls|platinum|nt|nw
isuzu_mux_lsm_diesel_auto_suv_mux,isuzu,mux,suv,diesel,auto,ls-m,mux,ls-m|lsm,suv|wagon,petrol|manual|ls-u|lsu|ls-t|lst
isuzu_mux_lsu_diesel_auto_suv_mux,isuzu,mux,suv,diesel,auto,ls-u,mux,ls-u|lsu,suv|wagon,petrol|manual|ls-m|lsm|ls-t|lst
isuzu_mux_lst_diesel_auto_suv_mux,isuzu,mux,suv,diesel,auto,ls-t,mux,ls-t|lst,suv|wagon,petrol|manual|ls-m|lsm|ls-u|lsu
volkswagen_golf_comfortline_petrol_auto_hatch_vi,volkswagen,golf,hatch,petrol,auto,comfortline,vi,comfortline,hatch|hatchback,manual|diesel|wagon|gti|golf r|wolfsburg|r32|trendline|highline|pacific|sport|generation|7|4th gen|v
volkswagen_golf_comfortline_diesel_auto_hatch_vi,volkswagen,golf,hatch,diesel,auto,comfortline,vi,comfortline,hatch|hatchback,manual|petrol|wagon|gti|golf r|wolfsburg|r32|trendline|highline|pacific|sport|generation|7|4th gen|v
